Move,Type,PP,Power,Acc
Hi Jump Kick,Fighting,20,85,90%
Horn Attack,Normal,25,65,100%
Horn Drill,Normal,5,KO,30%
Hydro Pump,Water,5,120,80%
Hyper Beam,Normal,5,150,90%
Hyper Fang,Normal,15,80,90%
Hypnosis,Psychic,20,N/A,60%
Ice Beam,Ice,10,95,100%
Ice Punch,Ice,15,75,100%
Jump Kick,Fighting,20,70,95%
Karate Chop,Normal,25,55,100%
Kinesis,Psychic,15,N/A,80%
Leech Life,Bug,15,20,100%
Leech Seed,Grass,10,N/A,90%
Leer,Normal,30,N/A,100%
Lick,Ghost,30,20,100%
Light Screen,Psychic,30,N/A,N/A
Lovely Kiss,Normal,10,N/A,75%
Low Kick,Fighting,20,50,90%
Meditate,Psychic,40,N/A,N/A
Mega Drain,Grass,10,40,100%
Mega Kick,Normal,5,120,75%
Mega Punch,Normal,20,80,85%
Metronome,Normal,10,N/A,N/A
Mimic,Normal,10,N/A,100%
Minimize,Normal,20,N/A,N/A
Mirror Move,Flying,20,Copy,N/A
Mist,Ice,30,N/A,N/A
Night Shade,Ghost,15,Var Dmg,100%
Pay Day,Normal,20,40,100%
Peck,Flying,35,35,100%
Petal Dance,Grass,20,70,100%
Pin Missile,Bug,20,14,85%
Poison Gas,Poison,40,N/A,55%
Poison Sting,Poison,35,15,100%
Poisonpowder,Poison,35,N/A,75%
Pound,Normal,35,40,100%
Psybeam,Psychic,20,65,100%
Psychic,Psychic,10,90,100%
Psywave,Psychic,15,Var Dmg,80%
Quick Attack,Normal,30,40,100%
Rage,Normal,20,20,100%
Razor Leaf,Grass,25,55,95%
Razor Wind,Normal,10,80,75%
Recover,Normal,20,N/A,N/A
Reflect,Psychic,20,N/A,N/A
Rest,Psychic,10,N/A,N/A
Roar,Normal,20,N/A,100%
Rock Slide,Rock,10,75,90%
Rock Throw,Rock,15,50,65%
Rolling Kick,Fighting,15,60,85%
Sand-Attack,Ground,15,N/A,100%
Scratch,Normal,35,40,100%
Screech,Normal,10,N/A,85%
Seismic Toss,Fighting,20,Var Dmg,100%
Selfdestruct,Normal,5,130,100%
Sharpen,Normal,30,N/A,N/A
Sing,Normal,15,N/A,55%
Skull Bash,Normal,15,100,100%
Sky Attack,Flying,5,140,90%
Slam,Normal,20,80,75%
Slash,Normal,20,70,100%
Sleep Powder,Grass,15,N/A,75%
Sludge,Poison,20,65,100%
Smog,Poison,20,20,100%
Smokescreen,Normal,20,N/A,100%
Softboiled,Normal,10,N/A,N/A
Solarbeam,Grass,10,120,100%
Sonicboom,Normal,20,Set,90%
Spike Cannon,Normal,15,20,100%
Splash,Normal,40,N/A,N/A
Spore,Grass,15,N/A,100%
Stomp,Normal,20,65,100%
Strength,Normal,15,80,100%
String Shot,Bug,40,N/A,95%
Struggle,Normal,1,50,100%
Stun Spore,Grass,30,N/A,75%
Submission,Fighting,20,80,80%
Substitute,Normal,10,N/A,N/A
Super Fang,Normal,10,Var Dmg,90%
Supersonic,Normal,20,N/A,55%
Surf,Water,15,95,100%
Swift,Normal,20,60,100%
Swords Dance,Normal,30,N/A,N/A
Tackle,Normal,35,35,95%
Tail Whip,Normal,30,N/A,100%
Take Down,Normal,20,90,85%
Teleport,Psychic,20,N/A,N/A
Thrash,Normal,20,90,100%
Thunder,Electric,10,120,70%
Thunder Wave,Electric,20,N/A,100%
Thunderbolt,Electric,15,95,100%
Thunderpunch,Electric,15,75,100%
Thundershock,Electric,30,40,100%
Toxic,Poison,10,N/A,85%
Transform,Normal,10,N/A,N/A
Tri Attack,Normal,10,80,100%
Twineedle,Bug,20,25,100%
Vicegrip,Normal,30,55,100%
Vine Whip,Grass,10,35,100%
Water Gun,Water,25,40,100%
Waterfall,Water,15,80,100%
Whirlwind,Normal,20,N/A,100%
Wing Attack,Flying,35,35,100%
Withdraw,Water,40,N/A,N/A
Wrap,Normal,20,15,85%
